 xx就要多读书-,还掉色  我的滤镜撑不下去了  不！搞！丑！的！//@开光佛珠_ :成功教育大家一胖毁所有
 不要乱来,怎么才第一天就感觉撑不下去了呢… ?
 黎香,今天一觉醒来去吃了火锅(图一)下午蒋蓉飞叫了他朋友又一起吃了火锅(图二)我真的太爱吃火锅了我感觉我上辈子就是一盆火锅但是我今天真的吃得要吐了  好吃但是又吃不了多少 所以死撑   秉承不能浪费钱的宗旨我简直就是用生命吃下去的  现在嘴里反酸水  胃里在涌动 难受~ ?
 萱的王-,想念p3的好皮肤 很少长痘的我用我满脸的闭口和痘痘来和图书馆说再见 朝九晚十坐了一个星期 屁股都快坐平了 多给我一天考试都撑不下去 假期快乐 ?
___白石医生的抹茶pocky,@火箭少女101_傅菁 小宝你养我吧 我有点撑不下去了 ?
___白石医生的抹茶pocky,@火箭少女101_傅菁 小宝你养我吧 我有点撑不下去了 ?
__大L,总是立着一个我不会做饭的形象，偶尔炒一个菜了你会赞不绝口。总是撑着一个我能带孩子的形象，从带一个升级到带两个却从来连一句辛苦了都换不到...对啊，自己生的娃，跪着也要带下去。但每每天天，都是那些细小的事情将我压的筋疲力竭啊。和朋友聊天之所以能解压，不过只是因为她们能宽慰的对我说一 ?  展开全文c
__大L,总是立着一个我不会做饭的形象，偶尔炒一个菜了你会赞不绝口。总是撑着一个我能带孩子的形象，从带一个升级到带两个却从来连一句辛苦了都换不到...对啊，自己生的娃，跪着也要带下去。但每每天天，都是那些细小的事情将我压的筋疲力竭啊。和朋友聊天之所以能解压，不过只是因为她们能宽慰的对我说一 ?  展开全文c
__子昆,我现在真的懒得纠结一口薯片下去多少卡路里了。反正姥子就长这个样子，胖点瘦点都没影响，一张胖脸先胖我又本身婴儿肥，初中九十多斤那是因为学校饭菜太差全靠苹果撑着饿过来的。我，14岁，一米五五，九十斤，那是饿出来的现在，十七岁，一米五七，一百多了不知道具体数字，那是踏踏实实好好吃饭长起 ?  展开全文c
__子昆,我现在真的懒得纠结一口薯片下去多少卡路里了。反正姥子就长这个样子，胖点瘦点都没影响，一张胖脸先胖我又本身婴儿肥，初中九十多斤那是因为学校饭菜太差全靠苹果撑着饿过来的。我，14岁，一米五五，九十斤，那是饿出来的现在，十七岁，一米五七，一百多了不知道具体数字，那是踏踏实实好好吃饭长起 ?  展开全文c
_dhdjxidbdjsnbsajkwvdjsw,7月啦！fight on!fight on!虽然会不高兴，还是要撑下去！大大的努力，小小的梦！ ?
_Pundarika,当我说“不要”的时候，我的意思是你给予的恩惠偿还起来会很麻烦，我很怕麻烦，大多事情我自己来就好，实在撑不下去一定会找你帮忙（也许也不会，就静静等待自我毁灭），但不是讨厌你的意思， ?
_Pundarika,当我说“不要”的时候，我的意思是你给予的恩惠偿还起来会很麻烦，我很怕麻烦，大多事情我自己来就好，实在撑不下去一定会找你帮忙（也许也不会，就静静等待自我毁灭），但不是讨厌你的意思， ?
_WekiNaNa_,没有傻帽孩子们的脸 她的创意真的弄不下去//@SixYeDam:放心吧，那些创意一直都是因为帽家孩子的脸撑起来的
_WekiNaNa_,没有傻帽孩子们的脸 她的创意真的弄不下去//@SixYeDam:放心吧，那些创意一直都是因为帽家孩子的脸撑起来的
_茶想曲,林峯 6.29感谢你@林峯  祝自己生日快乐 ?
_烂人也想拥有好运,#利特0701生日快乐# 大哥哥生日快乐
_木棉姑娘__,#下半年第一天#放假倒计时2天（我真撑不下去了 牙疼?腰疼 sa了我叭前几天吃的? ? 火烧里面的牛肉馅太太太足了万年点奶茶不动脑子的人终于尝试了新品（? 幽兰四季春? 蛋糕让刚刚考完试的我心情变得好好滴这个维他奶的? 太可爱了拍到了可爱滴??以及又是轻食外卖? ? ? ? ? ?  展开全文c
_木棉姑娘__,#下半年第一天#放假倒计时2天（我真撑不下去了 牙疼?腰疼 sa了我叭前几天吃的? ? 火烧里面的牛肉馅太太太足了万年点奶茶不动脑子的人终于尝试了新品（? 幽兰四季春? 蛋糕让刚刚考完试的我心情变得好好滴这个维他奶的? 太可爱了拍到了可爱滴??以及又是轻食外卖? ? ? ? ? ?  展开全文c
_相葉豌豆酱,我跟自己的较量连一个月都撑不下去……我确实是没有办法一个人生活的废物，当时信誓旦旦自己一定能行，在每次遇到大事小事的时候就只会哭哭啼啼，解决问题的方法也是可笑幼稚。叫不了外卖就选择不吃，天然气坏了就洗冷水澡，天气不好打不到车上班就请假不去上班……就是这样一个没用的我，以为自己能 ?  展开全文c
_相葉豌豆酱,我跟自己的较量连一个月都撑不下去……我确实是没有办法一个人生活的废物，当时信誓旦旦自己一定能行，在每次遇到大事小事的时候就只会哭哭啼啼，解决问题的方法也是可笑幼稚。叫不了外卖就选择不吃，天然气坏了就洗冷水澡，天气不好打不到车上班就请假不去上班……就是这样一个没用的我，以为自己能 ?  展开全文c
_张二朵,七月了，盛夏快乐。 ?
·春沐樱花浦·,生日快乐
·天天吃糖·,别搞cp了//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
·婉儿·,? 和? 会幸福快乐地生活在大山里的，一定
·望月夏芽·,生日快乐
·银河饲养员·,@发烧爱意 生日快乐哦！是我很喜欢的浪妈！！！以后也一起喜欢小桃叭ovo一直快快乐乐！！ ?
·樱花草莓星冰乐·,....孟女士真的是我看剧的最大阻力我快撑不下去了 ?
·樱花草莓星冰乐·,....孟女士真的是我看剧的最大阻力我快撑不下去了 ?
·樱花草莓星冰乐·,....孟女士真的是我看剧的最大阻力我快撑不下去了 ?
·鱼巷猫归,今晚最后一条 撑不下去了我得睡了 翟潇闻晚安@R1SE-翟潇闻 ?
0opps,七月是包含了自己还有许多喜欢的人诞生的日子呀，是特别特别棒的月份，一定会顺利快乐的。 ?
1315优no若,许多人说异地恋最后一定会分开。然而异地恋不等同于分手，也有可以坚持下去的。这个世界上一定有跑得赢时差，撑得过距离的爱情，只要她相信，只要你坚持。 ?
17拾壹,我想我大概撑不住太久了，要是一味的万念俱灰，大不了楼上跳下去，一了百了。我站在九楼的阳台，下面的树郁郁葱葱，我想我如果飞下去，树枝并不会尖锐的刺透我的身体。有这个念头的时候，我在发抖。我害怕了，我有求生欲，我想活着。其实世人只觉得我们是矫情的拥有健康身体却不爱惜偏偏要浪费生命 ?  展开全文c
17拾壹,我想我大概撑不住太久了，要是一味的万念俱灰，大不了楼上跳下去，一了百了。我站在九楼的阳台，下面的树郁郁葱葱，我想我如果飞下去，树枝并不会尖锐的刺透我的身体。有这个念头的时候，我在发抖。我害怕了，我有求生欲，我想活着。其实世人只觉得我们是矫情的拥有健康身体却不爱惜偏偏要浪费生命 ?  展开全文c
18级艺科四班,七月快乐太久没发微博了敷衍一下 2成都 ?
1999Part2,我在北二环的路上吼的很大声：“我要死啦！我终于要死啦！我撑不下去啦！” 我巴不得全世界都跟我分享这个喜讯 可他们没病 他们怎么会明白这到底是多么让人开心的一件事情啊 没人跟我分享这个喜讯终归是有点失落 真是寂寞啊 ?
1-eleven--1,#想自由 (Live)-林宥嘉#   拒绝迎新 心有余力不足  yoga 生日快乐   下半年快乐/
20_CM黑粗硬-0,#宣酒6上市热销一周年# 生日快乐@陌鹿晗在@的家族爱@偷星九十月之恋
24小时专业救妈队,哥哥生日快乐 爱你哦
2qiRlbJ,实在是撑不下去了 ?
33號谢阿昌,I don't care because l have my family 很乐观的孩子了！快乐成长
426一元scramble,生日快乐
4wwant-,#利特0701生日快乐#
7柠NNN,#李泰容0701生日快乐#
8211页,你来到人世间有着婴儿的手和脚还有无限的快乐之后手脚越长越大快乐一点一点蒸发 ?
8号行星环游记,希望我的盆友们考研考公的，实习找工作的都有满意结果//@小羊爱吃酱肘子:想要我爱的朋友们都好好的！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@Tiger公子:别再生病了
