source,target,weight
舞狮队二妹上树冥想记,用户6420794537,0.11173756
舞狮队二妹上树冥想记,unhappygoose,0.11957108
舞狮队二妹上树冥想记,Hell3rGoh螺,0.14213398
舞狮队二妹上树冥想记,夕丙搏洁,0.11101311
舞狮队二妹上树冥想记,成长pgjm,0.18178448
舞狮队二妹上树冥想记,象巧欣,0.13894358
舞狮队二妹上树冥想记,Typewriter猴_VoV,0.14850843
舞狮队二妹上树冥想记,嗨我来抓人了,0.1225928
Lucky_阿柒,用户6420794537,0.11511602
Lucky_阿柒,unhappygoose,0.12151965
Lucky_阿柒,正宗糖丝儿,0.11226188
Lucky_阿柒,Hell3rGoh螺,0.14274475
Lucky_阿柒,夕丙搏洁,0.11402517
Lucky_阿柒,荞麦面和榴莲更配哦,0.1157498
Lucky_阿柒,成长pgjm,0.18111423
Lucky_阿柒,象巧欣,0.14403503
Lucky_阿柒,Typewriter猴_VoV,0.15189171
Lucky_阿柒,嗨我来抓人了,0.13518817
Gio_莫太,用户6420794537,0.11254614
Gio_莫太,unhappygoose,0.11989524
Gio_莫太,Hell3rGoh螺,0.14203888
Gio_莫太,夕丙搏洁,0.11300224
Gio_莫太,成长pgjm,0.18228573
Gio_莫太,象巧欣,0.14140859
Gio_莫太,Typewriter猴_VoV,0.14897942
Gio_莫太,嗨我来抓人了,0.12042046
Gio_莫太,冰阔落味嘴唇的美少女,0.11043859
青二才小十,Z恩Z恩P大桢,0.11689384
青二才小十,辞辞又困了,0.11657765
青二才小十,你看小橘笑得多开心,0.11438264
青二才小十,九九呐__,0.12441561
青二才小十,用户6420794537,0.13917251
青二才小十,钴鹤,0.11946245
青二才小十,莉柚薇甜,0.11042836
青二才小十,stjkksbygkww,0.1283133
青二才小十,卞卞1995,0.12569447
青二才小十,·天天吃糖·,0.1243593
青二才小十,unhappygoose,0.13846865
青二才小十,小黑呀·,0.12127191
青二才小十,阿拉拉拉朗LANG,0.12187771
青二才小十,正宗糖丝儿,0.13605752
青二才小十,花花大魔王有胡萝北,0.12129156
青二才小十,NGYINGYAN,0.12285004
青二才小十,Hell3rGoh螺,0.16321045
青二才小十,西蒙Sanji,0.11574643
青二才小十,婧儿Jing5288,0.12064896
青二才小十,一九sui,0.11529111
青二才小十,小晶晶要认真了,0.12356258
青二才小十,Yvub1-防患未lwq,0.11359089
青二才小十,是一只Yumi羊仔啊,0.1205471
青二才小十,TheLoverTop,0.12392663
青二才小十,Hello米小乐,0.11718136
青二才小十,夕丙搏洁,0.13890735
青二才小十,空中飞舞的Jacky,0.13300787
青二才小十,rioota,0.12307927
青二才小十,荞麦面和榴莲更配哦,0.14402238
青二才小十,Lucky又在做梦了,0.12022916
